title,description,date_posted
Senior Python Developer,"We are looking for a Python expert with strong skills in Django, SQL, and AWS.",2025-01-15
Data Scientist,"Join our AI team! Requires Python, Machine Learning, Pandas, Scikit-learn, and SQL.",2025-01-20
Frontend Engineer,"React, Javascript, and Typescript experience needed. Familiarity with Node.js is a plus.",2025-01-10
Cloud Architect,"Design cloud infrastructure using AWS, Azure, Docker, and Kubernetes.",2025-02-05
Machine Learning Engineer,"Build models using Python, TensorFlow, PyTorch, and Deep Learning techniques.",2025-02-12
Backend Developer,"Go, Rust, SQL, and Docker containerization.",2025-02-28
Data Analyst,"SQL, Tableau, Power BI, data analysis, and Python.",2025-03-01
Software Engineer,"General software engineer needed. Java, Python, C++, React, Agile.",2025-03-10
Full Stack Developer,"Javascript, Node.js, React, SQL, AWS.",2025-03-15
ML Ops Engineer,"Kubernetes, Docker, Python, Machine Learning, AWS.",2025-04-02
Data Scientist,"More Data Science. Python, SQL, NLP, Deep Learning, Pandas.",2025-04-10
Python Backend,"FastAPI, Flask, Python, SQL.",2025-04-18
Cloud Engineer,"AWS, Azure, GCP, Terraform, Kubernetes.",2025-05-01
AI Researcher,"Machine Learning, Deep Learning, PyTorch, TensorFlow, Python.",2025-05-15
Data Engineer,"SQL, Python, Spark, Hadoop, AWS.",2025-05-20
